,Symbol,Name,Sector,industry,Exchange,CIK
164,ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers,NYSE,899051
165,ALLE,Allegion plc,Consumer Services,Diversified Commercial Services,NYSE,1579241
166,ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment,NASDAQ,1365767
167,ALLY,Ally Financial Inc.,Finance,Finance: Consumer Services,NYSE,40729
168,ALN,American Lorain Corporation,Consumer Non-Durables,Packaged Foods,AMEX,1117057
169,ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1178670
170,ALOG,Analogic Corporation,Capital Goods,Electrical Products,NASDAQ,6284
171,ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment,NASDAQ,8146
172,ALQA,"Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments,NASDAQ,1054274
173,ALR,Alere Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NYSE,1145460
174,ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,1459200
175,ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ,1089511
176,ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,NYSE,1411207
177,ALV,"Autoliv, Inc.",Capital Goods,Auto Parts:O.E.M.,NYSE,1034670
178,ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,3499
179,ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,899866
180,AM,Antero Midstream Partners LP,Public Utilities,Natural Gas Distribution,NYSE,5133
181,AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,792977
182,AMAT,"Applied Materials, Inc.",Technology,Semiconductors,NASDAQ,6951
183,AMBA,"Ambarella, Inc.",Technology,Semiconductors,NASDAQ,1280263
184,AMBR,"Amber Road, Inc.",Technology,Computer Software: Prepackaged Software,NYSE,1314223
185,AMC,"AMC Entertainment Holdings, Inc.",Consumer Services,Movies/Entertainment,NYSE,1411579
186,AMCC,Applied Micro Circuits Corporation,Technology,Semiconductors,NASDAQ,711065
187,AMCN,AirMedia Group Inc,Technology,Advertising,NASDAQ,1413745
188,AMCX,AMC Networks Inc.,Consumer Services,Television Services,NASDAQ,1514991
189,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,NASDAQ,2488
190,AMDA,Amedica Corporation,Health Care,Medical/Dental Instruments,NASDAQ,1269026
191,AME,"AMTEK, Inc.",Consumer Durables,Metal Fabrications,NYSE,1037868
192,AMED,Amedisys Inc,Health Care,Medical/Nursing Services,NASDAQ,896262
193,AMEH,"Apollo Medical Holdings, Inc.",,,NASDAQ,1083446
194,AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers,NYSE,1004434
195,AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,318154
196,AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts,NYSE,1562401
197,AMID,"American Midstream Partners, LP",Public Utilities,Natural Gas Distribution,NYSE,1513965
198,AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,NASDAQ,1361566
199,AMN,AMN Healthcare Services Inc,Technology,Professional Services,NYSE,790730
200,AMNB,"American National Bankshares, Inc.",Finance,Major Banks,NASDAQ,771944
201,AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products,NASDAQ,46129
202,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers,NYSE,820027
203,AMPE,"Ampio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,AMEX,1411906
204,AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1297184
205,AMRB,American River Bankshares,Finance,Major Banks,NASDAQ,1108236
206,AMRC,"Ameresco, Inc.",Basic Industries,Engineering & Construction,NYSE,1488139
207,AMRI,"Albany Molecular Research, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ,1065087
208,AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores,NASDAQ,1591588
209,AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals,NASDAQ,1120246
210,AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals,NASDAQ,1365916
211,AMS,American Shared Hospital Services,Health Care,Medical Specialities,AMEX,744825
212,AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications,NASDAQ,880807
213,AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers,NASDAQ,1018979
214,AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,713425
215,AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts,NYSE,1053507
216,AMTD,TD Ameritrade Holding Corporation,Finance,Investment Bankers/Brokers/Service,NASDAQ,1173431
217,AMWD,American Woodmark Corporation,Basic Industries,Forest Products,NASDAQ,794619
218,AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution,NASDAQ,1018724
219,AN,"AutoNation, Inc.",Consumer Durables,Automotive Aftermarket,NYSE,350698
220,ANAT,American National Insurance Company,Finance,Life Insurance,NASDAQ,904163
221,ANCB,Anchor Bancorp,Finance,Banks,NASDAQ,1448301
222,ANCX,Access National Corporation,Finance,Savings Institutions,NASDAQ,1176316
223,ANDE,"The Andersons, Inc.",Consumer Services,Farming/Seeds/Milling,NASDAQ,821026
224,ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,1018840
225,ANGI,"Angie&#39;s List, Inc.",Consumer Services,Advertising,NASDAQ,1491778
226,ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments,NASDAQ,1275187
227,ANH,Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts,NYSE,1047884
228,ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments,NASDAQ,898437
229,ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1023024
230,ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,1013462
231,ANTH,"Anthera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1316175
232,ANTX,"Anthem, Inc.",Health Care,Medical Specialities,NYSE,1097575
233,ANW,Aegean Marine Petroleum Network Inc.,Energy,Oil Refining/Marketing,NYSE,1344376
234,AOD,Alpine Total Dynamic Dividend Fund,,,NYSE,1379400
